"user_id";"fname";"lname";"username";"dob";"gender";"marital_status";"email";"phone";"password";"is_active";"active"
1;"Madhu";"H";"madhu_updated";"2003-06-12";"";"";"madhu_updated@example.com";"0123456789";"$2a$10$yCdqONtKxss.NPx0m2xtLeav1zI/S6vDAgm1nKxvmVWIYyjsjkC4y";1;"1"
2;"Prateek";"H";"prateek_updated";"2003-08-21";"";"";"prateek_updated@example.com";"999999999";"$2a$10$7B3f/RjhA2gsqMEVw9fi1.vumDQ9dYLRNlJEF1pBHFKwv9rC3yCdi";1;"1"
3;"xyz";"H";"xyz_updated";"2003-08-21";"";"";"xyz_updated@example.com";"999999999";"$2a$10$jiX1ujuP1HHJGKq/NCu/vurwSgIovwrJv1V3/n1aNfWaKUznj4qxq";1;"1"
4;"santoshi";"H";"santoshi_updated";"2003-08-21";"";"";"santoshi_updated@example.com";"999999999";"$2a$10$bvn2WY35b.eZ3hYM0HwVZOZkWDqdlWSvAbEBO6mrKhsPXe/eCEn8e";1;"1"
5;"Ashlesha";"Khanapure";"ashlesha_updated@example.com";"2003-07-22";"";"";"ashlesha@gmail.com";"5628674320";"$2a$10$6wrN4Wolysayqc4RavzZYuVjsJBrj0Tzum3vcMRDsimYbJ99178rO";1;"1"
6;"shreeraksha ";"BM";"shreeraksha_updated@example.com";"2003-12-16";"";"";"shreeraksha@gmail.com";"05628674320";"$2a$10$eSEEzxOzDL2sYgIwO2CA6O7s56Lbedeb1n8fMMZk0Bhlnx9vhMuj6";1;"1"
7;"swati";"s";"swati@gmail.com";"2004-02-26";"";"";"swati@gmail.com";"04684645521";"$2a$10$Wej1kQmLSyU.u2xITlwtTeal/H24cUtUBKdHGFQZBJlF02xGsNz3.";1;"1"
8;"siri";"s";"siri@gmail.com";"2004-06-15";"";"";"siri@gmail.com";"09008094643";"$2a$10$SywhAr/aBXDmQTA/u0jj0.WVXZz5JPimSS12cJRHd6Sxc5MshLBae";1;"1"
9;"ps";"a";"prateek@example.com";"2025-10-01";"";"";"ps@gmail.com";"01234675890";"$2a$10$yThhj8.XvpVcQ3sHZiJhZOGC0VZr5r7AFuzaZIu08x5oRhjibT6M2";1;"1"
10;"xyz";"abc";"xyz@gmail.com";"2016-05-04";"";"";"xyz@gmail.com";"3762543534";"$2a$10$685Z7ERXt8s54PzqLiD3SeYnruDfYM3d0EE3nt/.5dQOoLN/ttK/C";1;"1"
11;"John";"Doe";"johndoe";"1985-08-15";"Male";"Single";"johndoe@example.com";"1234567890";"password123";1;"1"
12;"Jane";"Smith";"janesmith";"1990-04-10";"Female";"Married";"janesmith@example.com";"0987654321";"password321";1;"1"
13;"Robert";"Brown";"robertbrown";"1982-12-20";"Male";"Single";"robertbrown@example.com";"1122334455";"password234";1;"1"
14;"Emily";"Johnson";"emilyjohnson";"1995-07-30";"Female";"Single";"emilyjohnson@example.com";"2233445566";"password567";1;"1"
15;"Michael";"Williams";"michaelwilliams";"1988-06-18";"Male";"Married";"michaelwilliams@example.com";"3344556677";"password678";1;"1"
16;"Olivia";"Davis";"oliviadavis";"1992-03-12";"Female";"Single";"oliviadavis@example.com";"4455667788";"password789";1;"1"
17;"James";"Miller";"jamesmiller";"1993-11-02";"Male";"Single";"jamesmiller@example.com";"5566778899";"password890";1;"1"
18;"Sophia";"Wilson";"sophiawilson";"1989-09-25";"Female";"Married";"sophiawilson@example.com";"6677889900";"password1234";1;"1"
19;"William";"Moore";"williammore";"1991-02-05";"Male";"Single";"williammore@example.com";"7788990011";"password2345";1;"1"
20;"Ava";"Taylor";"avataylor";"1997-01-10";"Female";"Single";"avataylor@example.com";"8899001122";"password3456";1;"1"
21;"Ethan";"Anderson";"ethananderson";"1986-05-22";"Male";"Married";"ethananderson@example.com";"9900112233";"password4567";1;"1"
22;"Mia";"Thomas";"miathomas";"1994-08-28";"Female";"Single";"miathomas@example.com";"1001223344";"password5678";1;"1"
23;"Alexander";"Jackson";"alexanderjackson";"1983-11-15";"Male";"Single";"alexanderjackson@example.com";"1102334455";"password6789";1;"1"
24;"Amelia";"White";"ameliawhite";"1990-06-30";"Female";"Married";"ameliawhite@example.com";"1203445566";"password7890";1;"1"
25;"Henry";"Harris";"henryharris";"1984-12-10";"Male";"Single";"henryharris@example.com";"1304556677";"password8901";1;"1"
26;"Charlotte";"Martin";"charlottemartin";"1996-04-18";"Female";"Single";"charlottemartin@example.com";"1405667788";"password9012";1;"1"
27;"Liam";"Garcia";"liamgarcia";"1987-01-23";"Male";"Married";"liamgarcia@example.com";"1506778899";"password12345";1;"1"
28;"Ella";"Rodriguez";"ellarodriguez";"1999-10-12";"Female";"Single";"ellarodriguez@example.com";"1607889900";"password23456";1;"1"
29;"Lucas";"Martinez";"lucasmartinez";"1998-11-08";"Male";"Single";"lucasmartinez@example.com";"1708990011";"password34567";1;"1"
30;"Zoe";"Lee";"zoelee";"1995-05-16";"Female";"Married";"zoelee@example.com";"1809001122";"password45678";1;"1"
